Brand,Display_Type,Display_Resolution,Display_size,Response Time,Refresh Rate,Brigthness,Power_Consumption,Warrantly,Price
LG,FHD IPS,1366 x 768,20,5,60,200,15,3,41070
Asus,FHD LED,1920 x 1080,15.6,5,76,250,22.97,3,41000
Dell,HD LED,1920 x 1080,23,5,60,250,20,3,41000
HP,HD LED,1366 x 768,18.5,5,60,200,10,3,40850
HP,HD LED,1366 x 768,18.5,5,60,200,10,3,40800
LG,HD LED,1366 x 768,19.5,5,60,200,15,3,40800
Dell,HD LED,1366 x 768,18.5,5,60,200,14,3,40580
HP,HD LED,1366 x 768,18.5,5,60,200,17,3,40530
Dell,FHD IPS,1280 x 1024,19,8,60,250,14,3,40500
HP,FHD IPS,1920 x 1080,21.5,5,60,250,68,3,40400
Dell,HD LED,1366 x 768,18.5,5,60,200,11,3,40200
